id;nom;nomEN
1;Back Extensions;Back Extensions
2;Barbell Back Presses;Barbell Back Presses
3;Barbell Bench Presses;Barbell Bench Presses
4;Barbell Curls;Barbell Curls
5;Barbell Deadlifts;Barbell Deadlifts
6;Barbell Rows;Barbell Rows
7;Bent-Over Dumbbell Lateral Raises;Bent-Over Dumbbell Lateral Raises
8;Cable Flys;Cable Flys
9;Chin-Ups;Chin-Ups
10;Close-Grip Barbell Bench Presses;Close-Grip Barbell Bench Presses
11;Close-Grip Lat Pull-Downs;Close-Grip Lat Pull-Downs
12;Concentration Curls;Concentration Curls
13;Developpe Militaire;Developpe Militaire
14;Dumbbell Front Raises;Dumbbell Front Raises
15;Dumbbell Shrugs;Dumbbell Shrugs
16;Extensions triceps Poulie Reverse;Extensions triceps Poulie Reverse
17;Hammer Curls;Hammer Curls
18;Incline Barbell Bench Presses;Incline Barbell Bench Presses
19;Incline Dumbbell Flys;Incline Dumbbell Flys
20;Lat Pull-Downs;Lat Pull-Downs
21;Leg Extensions;Leg Extensions
22;Leg Presses;Leg Presses
23;Lying Barbell Triceps Extensions;Lying Barbell Triceps Extensions
24;Machine Bench Presses;Machine Bench Presses
25;Machine Flys;Machine Flys
26;Machine Presses;Machine Presses
27;Parallel Bar Dips;Parallel Bar Dips
28;Poulie Verticale;Poulie Verticale
29;Poulis Basse;Poulis Basse
30;Push-Downs;Push-Downs
31;Push-Ups;Push-Ups
32;Reverse Chin-Ups;Reverse Chin-Ups
33;Rowing vertical;Rowing vertical
34;Smith Machine Squats;Smith Machine Squats
35;Swing au Kettle bell;Swing au Kettle bell
36;Tirage horizontal;Tirage horizontal
37;TRX Biceps;TRX Biceps
38;TRX calins;TRX calins
39;TRX Push-up Large;TRX Push-up Large
40;Walking Lunges;Walking Lunges
